id_projeto,fonte_dado,pais,estado_regiao,empresa_consorcio,status_maturidade,fase,tecnologia_eletrolise,aplicacao_final,produto_final,capacidade_mw,producao_t_ano,producao_kg_dia,investimento,moeda_investimento,data_anuncio,previsao_operacao,fonte_renovavel,materia_prima,tipo_parceria,url_fonte,id_fontes,id_estados,id_empresas,id_status,id_tecnologias,id_aplicacoes
H2V-00078,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00079,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00080,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00081,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00082,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00083,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00084,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00085,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00086,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00087,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00088,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00089,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00090,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00091,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00092,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00093,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00094,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00095,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00096,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00097,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00098,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00099,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00100,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00101,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00102,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00103,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00104,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00105,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00106,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
